Id,Title,UserId,Views
1,His mother had always taught him,121,305
2,He was an expert but not in a discipline,91,4884
3,Dave watched as the forest burned up on the hill.,16,4152
4,All he wanted was a candy bar.,47,4548
5,Hopes and dreams were dashed that day.,131,626
6,Dave wasn't exactly sure how he had ended up,98,38
7,This is important to remember.,70,168
8,One can cook on and with an open fire.,67,2116
9,There are different types of secrets.,82,2235
10,They rushed out the door.,144,4504
11,It wasn't quite yet time to panic.,43,984
12,She was aware that things could go wrong.,82,480
13,She wanted rainbow hair.,199,3038
14,The paper was blank.,140,721
15,"The trees, therefore, must be such old",1,2911
16,There was only one way to do things in the Statton house.,99,2019
17,She was in a hurry.,30,511
18,She had a terrible habit o comparing her life to others,97,1127
19,The rain and wind abruptly stopped.,143,2128
20,He couldn't remember exactly where he had read it,12,4280
21,He wandered down the stairs and into the basement,136,2738
22,She has seen this scene before.,183,4587
23,It's an unfortunate reality that we don't teach people how to make money,206,1634
24,The robot clicked disapprovingly.,124,97
25,It went through such rapid contortions,148,2437
26,She patiently waited for his number to be called.,156,4070
27,Ten more steps.,95,3218
28,He had three simple rules by which he lived.,19,3531
29,The chair sat in the corner where it had been,74,43
30,Things aren't going well at all,177,3558
